Object_ID,X,Y,Size,Luminosity
345,118.5,126.5,4.0,286
346,118.0,159.0,1.0,75
347,118.0,212.0,1.0,71
348,118.0,234.0,1.0,77
349,118.0,271.0,1.0,72
350,119.0,143.0,1.0,71
351,119.0,215.0,1.0,76
352,119.66666666666667,217.66666666666666,3.0,218
353,120.5,153.5,2.0,144
354,120.0,157.0,3.0,219
355,121.0,192.0,1.0,72
356,121.0,280.0,1.0,72
357,121.0,298.0,1.0,74
358,122.0,157.0,1.0,73
359,123.0,221.0,1.0,72
360,123.0,224.0,1.0,72
361,123.5,227.5,2.0,144
362,124.0,294.0,1.0,71
363,125.0,141.0,1.0,71
364,125.0,193.0,1.0,72
365,125.5,283.5,4.0,313
366,126.0,165.0,1.0,71
367,126.0,191.0,1.0,76
368,126.0,197.0,1.0,72
369,126.0,233.0,1.0,72
370,126.0,288.0,1.0,74
371,127.0,220.0,1.0,72
372,127.0,235.0,1.0,80
373,127.0,244.0,1.0,72
374,128.0,39.0,1.0,76
375,128.0,202.0,1.0,71
376,129.94117647058823,238.47058823529412,17.0,1249
377,128.0,282.5,2.0,145
378,128.0,285.0,1.0,73
379,129.0,206.0,1.0,71
380,129.5,245.5,2.0,144
381,130.0,138.0,1.0,80
382,131.0,243.0,1.0,72
383,132.0,172.0,1.0,73
384,133.0,245.0,1.0,71
385,134.0,227.0,1.0,71
386,134.5,260.5,2.0,142
387,135.66666666666666,242.0,3.0,216
388,136.0,265.5,2.0,142
389,136.0,299.0,1.0,76
390,137.66666666666666,150.33333333333334,3.0,227
391,137.0,229.5,2.0,143
392,137.0,238.0,1.0,74
393,139.46153846153845,247.84615384615384,13.0,949
394,138.33333333333334,242.0,3.0,219
395,138.0,272.0,1.0,71
396,139.0,233.0,1.0,72
397,139.0,262.0,1.0,71
398,139.33333333333334,264.3333333333333,3.0,218
399,140.5,144.0,2.0,155
400,140.0,222.0,1.0,71
401,140.0,289.0,1.0,72
402,141.0,281.0,1.0,74
403,141.0,298.0,1.0,71
404,142.5,262.5,2.0,142
405,142.5,271.0,2.0,157
406,143.0,296.0,1.0,76
407,144.625,252.0,8.0,588
408,145.4,267.6,5.0,367
409,145.66666666666666,281.0,6.0,429
410,145.0,239.0,1.0,72
411,145.0,243.0,1.0,74
412,145.0,246.5,2.0,142
413,145.0,289.0,1.0,75
414,146.0,259.0,1.0,72
415,146.0,264.0,1.0,74
416,146.5,287.0,2.0,149
417,147.0,224.0,1.0,73
418,160.27441860465117,263.90697674418607,215.0,15744
419,147.0,283.0,1.0,73
420,149.28571428571428,261.14285714285717,7.0,513
421,149.0,265.0,4.0,292
422,149.0,287.0,1.0,73
423,150.0,281.0,1.0,71
424,151.85714285714286,288.42857142857144,7.0,501
425,151.5,231.0,2.0,148
426,151.0,246.5,2.0,143
427,152.33333333333334,276.0,3.0,214
428,153.0,221.0,1.0,73
429,153.0,294.0,1.0,73
430,154.4,251.6,5.0,371
431,154.66666666666666,285.0,3.0,216
432,155.66666666666666,238.0,3.0,216
433,155.0,248.0,1.0,71
434,156.0,235.0,1.0,71
435,156.0,287.0,1.0,71
436,156.0,289.5,2.0,143
437,157.0,229.5,2.0,142
438,157.0,233.0,1.0,76
439,158.75,235.25,4.0,288
440,162.9047619047619,239.52380952380952,21.0,1536
441,158.0,249.0,1.0,71
442,158.0,289.0,1.0,74
443,159.0,280.0,1.0,72
444,159.5,291.0,2.0,146
445,161.4,288.2,5.0,372
446,161.5,232.5,2.0,142
447,161.5,253.0,2.0,143
448,161.0,281.0,1.0,71
449,161.0,284.0,1.0,71
450,163.0,230.0,1.0,76
451,163.0,245.0,1.0,71
452,164.0,224.0,1.0,73
453,164.0,228.0,1.0,73
454,164.0,233.5,2.0,145
455,164.0,251.0,1.0,71
456,169.6086956521739,233.08695652173913,23.0,1682
457,165.0,236.0,1.0,71
458,165.0,284.0,1.0,71
459,165.0,289.0,1.0,73
460,171.5,241.54166666666666,24.0,1766
461,167.0,274.0,3.0,216
462,168.14285714285714,285.14285714285717,7.0,509
463,168.0,255.0,1.0,75
464,170.0,268.0,1.0,72
465,173.58333333333334,281.1666666666667,12.0,874
466,173.0,247.375,8.0,590
467,172.0,269.0,1.0,72
468,174.0,269.0,1.0,71
469,180.21212121212122,247.96969696969697,66.0,4867
470,176.0,266.3333333333333,3.0,216
471,175.0,273.0,1.0,72
472,177.0,269.5,2.0,145
473,178.0,277.0,1.0,74
474,179.5,258.5,2.0,143
475,179.0,269.0,1.0,72
476,179.0,284.0,1.0,75
477,179.0,288.0,1.0,76
478,180.5,276.0,2.0,148
479,181.0,294.5,2.0,146
480,182.0,31.0,1.0,72
481,182.0,278.0,1.0,71
482,183.0,241.0,1.0,75
483,184.0,279.0,1.0,71
484,185.0,260.0,1.0,74
485,185.0,277.0,1.0,71
486,186.0,280.0,1.0,71
487,188.0,297.0,1.0,71
488,191.125,254.75,8.0,572
489,190.0,262.0,1.0,71
490,191.0,259.0,1.0,71
491,192.0,249.0,1.0,76
492,194.0,257.0,1.0,72
493,196.0,250.66666666666666,3.0,216
494,198.0,253.0,1.0,73
495,203.0,262.0,1.0,72
496,211.0,270.0,1.0,71
497,212.5,298.5,4.0,297
498,214.0,274.0,1.0,72
499,215.0,265.0,1.0,73
500,219.0,264.0,1.0,78
501,219.5,299.0,2.0,142
502,221.0,262.0,1.0,76
503,221.0,297.0,1.0,75
504,222.5,264.0,2.0,144
505,226.0,266.5,4.0,294
506,226.0,287.0,1.0,72
507,226.0,292.5,2.0,149
508,228.0,288.0,1.0,77
509,228.0,291.0,1.0,72
510,229.0,128.0,1.0,76
511,232.25,270.75,4.0,297
512,232.0,251.0,1.0,73
513,232.5,263.0,2.0,146
514,232.5,295.0,2.0,156
515,233.0,234.0,1.0,73
516,233.0,261.0,1.0,71
517,233.5,268.0,2.0,144
518,235.0,266.0,1.0,71
519,239.2,297.53333333333336,15.0,1109
520,236.0,235.0,1.0,73
521,238.0,277.5,2.0,144
522,239.0,281.0,1.0,73
523,241.0,287.0,1.0,73
524,247.0,291.0,1.0,77
525,253.0,292.0,1.0,71
526,255.0,101.0,1.0,73
527,258.0,297.0,1.0,71
528,261.0,298.0,1.0,73
529,263.0,214.0,1.0,72
530,265.0,212.0,1.0,72
531,266.0,275.0,1.0,71
532,266.0,285.0,1.0,71
533,267.0,7.0,1.0,72
534,273.0,270.0,1.0,71
535,274.0,272.0,1.0,72
536,283.0,212.0,1.0,74
537,291.0,223.0,1.0,71
538,294.0,165.0,1.0,76
